username,phone,email,unit_ids,image_file,current_salary,occupation,experience,date_of_birth,home_address,work_address
Burna Boi,23432,burnaboi@unkown.com,,027929b9c4c2d514.jpg,1000000,20,10,2022-09-08 15:46:15.748569,"Abuja, President House.","Ikeja, Lagos"
Janet Jackson,09012345678,janet@jackson.music,,default.jpg,,,,2022-09-12 08:59:25.055477,,
Micahel Jordan,1999,jordan@nba.com,1,default.jpg,10000000,Basketballer,20 ,2022-09-14 11:40:43.839201,none,none
Richard Valuemax,12332,richy@value.com,1,default.jpg,,,,2022-09-29 10:46:59.270054,,
Bura bura ,21321,bura@bura.member,4,default.jpg,,,,2022-09-29 11:53:46.166846,,
Mimi Instant noodles,34234,noodle@mimi.com,5,default.jpg,,,,2022-10-05 12:04:34.670060,,
rodejayi,433432432,rwer@gdgf.vgh,1-3,default.jpg,,,,2022-10-05 12:58:58.310402,,
John Snow 9,230932,johnsnow@got.com,3-5,default.jpg,,,,2022-10-12 09:20:32.041858,,
yofds,23323,sdfds@tyufuy.com,3-4-5,default.jpg,,,,2022-10-05 12:55:05.781270,,
Basic Member,12345,basic@member.com,,default.jpg,,,,2022-10-18 10:24:54.003815,,
